                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0356,                 2.7925,                 1.4086,                0.00353,                0.97685,                0.31267,                0.18105,                0.95416,                 3.0881,                  1.441,             0.00032667,             0.00032667,             0.00032667
                      2,                 1.1726,                 2.1156,                 1.4466,                0.12043,                0.22825,                0.11926,                0.06288,                 1.3334,                 2.5971,                  1.772,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.2142,                 1.9786,                 1.4593,                 0.2231,                0.17332,                  0.051,                0.03381,                 1.9004,                 7.7138,                  2.601,               0.000954,               0.000954,               0.000954
                      4,                  1.174,                 1.8303,                 1.4116,                0.11714,                0.26677,                0.12889,                0.04761,                 2.3145,                 3.0976,                 3.8929,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.1305,                 1.7251,                 1.3615,                0.14269,                0.48507,                0.17819,                0.11493,                 1.1489,                 3.5648,                 1.4874,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.1188,                 1.5926,                  1.345,                0.34828,                0.54568,                0.40031,                0.23419,                 1.3123,                 2.2091,                 1.5291,               0.000901,               0.000901,               0.000901
                      7,                 1.1106,                 1.5494,                 1.3403,                0.47962,                0.51858,                0.42586,                0.27471,                 1.1924,                 1.7933,                 1.4928,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.0468,                 1.4715,                 1.2952,                0.29897,                 0.4002,                0.30625,                0.18006,                 1.3905,                 2.0534,                 1.7077,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.0305,                 1.3746,                 1.2738,                0.32704,                0.57448,                0.45641,                0.28303,                 1.2865,                 1.8836,                 1.5369,              0.0008416,              0.0008416,              0.0008416
                     10,                  1.016,                 1.4162,                 1.2774,                 0.5067,                0.64038,                0.61421,                0.46835,                0.88834,                 1.3066,                 1.2101,              0.0008218,              0.0008218,              0.0008218
                     11,                0.99785,                 1.3522,                 1.2647,                0.48391,                0.69287,                0.57765,                0.42423,                0.97626,                  1.413,                 1.2613,               0.000802,               0.000802,               0.000802
                     12,                 1.0069,                 1.2833,                 1.2841,                 0.5611,                0.69257,                0.63362,                0.43359,                 1.0059,                 1.3066,                 1.2746,              0.0007822,              0.0007822,              0.0007822
                     13,                0.95493,                 1.2246,                 1.2302,                0.64813,                0.64525,                0.70053,                0.54639,                0.84981,                 1.2569,                 1.1701,              0.0007624,              0.0007624,              0.0007624
                     14,                0.93884,                 1.1594,                  1.229,                0.50269,                 0.7197,                0.69489,                0.52654,                 0.8968,                 1.2033,                 1.2041,              0.0007426,              0.0007426,              0.0007426
                     15,                0.95506,                 1.1811,                 1.2384,                0.54473,                0.59824,                 0.6107,                0.45835,                 0.9229,                 1.6056,                 1.2118,              0.0007228,              0.0007228,              0.0007228
                     16,                0.95315,                 1.1764,                  1.235,                0.50844,                0.63115,                0.61896,                0.47779,                0.84237,                 1.5368,                 1.1747,               0.000703,               0.000703,               0.000703
                     17,                0.94415,                 1.1581,                 1.2321,                0.60712,                0.71083,                0.69915,                0.51339,                0.90634,                 1.2635,                  1.217,              0.0006832,              0.0006832,              0.0006832
                     18,                0.91779,                 1.1038,                 1.2269,                0.62745,                0.68279,                0.71626,                0.56525,                0.81189,                 1.1374,                 1.1384,              0.0006634,              0.0006634,              0.0006634
                     19,                0.90257,                 1.0662,                 1.2153,                0.70654,                0.68232,                0.73716,                0.57289,                0.80816,                 1.0832,                 1.1235,              0.0006436,              0.0006436,              0.0006436
                     20,                0.90848,                 1.0782,                 1.2157,                0.61001,                0.68653,                0.74872,                0.59062,                 0.8043,                 1.1797,                 1.1213,              0.0006238,              0.0006238,              0.0006238
                     21,                0.87473,                 1.0207,                  1.191,                0.69013,                0.70709,                0.73399,                0.57224,                0.78957,                 1.1186,                 1.1196,               0.000604,               0.000604,               0.000604
                     22,                0.88971,                 1.0158,                 1.1993,                0.73461,                0.77691,                 0.8371,                0.64546,                0.81411,                0.86481,                 1.1314,              0.0005842,              0.0005842,              0.0005842
                     23,                 0.8975,                 1.0267,                 1.2067,                0.63585,                0.71353,                0.73755,                0.57752,                0.81027,                 1.0456,                 1.1371,              0.0005644,              0.0005644,              0.0005644
                     24,                 0.8695,                0.99455,                 1.1827,                0.66078,                 0.7104,                0.75039,                0.57136,                0.83545,                 1.2116,                 1.1416,              0.0005446,              0.0005446,              0.0005446
                     25,                0.86357,                0.96123,                 1.1839,                0.62182,                0.76628,                 0.7536,                 0.5983,                0.79633,                 1.0246,                 1.1044,              0.0005248,              0.0005248,              0.0005248
                     26,                0.83881,                0.95751,                 1.1851,                0.70169,                0.72672,                0.80616,                0.63447,                0.76709,                 0.9258,                 1.0956,               0.000505,               0.000505,               0.000505
                     27,                0.84194,                 0.9079,                 1.1783,                0.71236,                0.78124,                0.81163,                0.65266,                0.72971,                0.84433,                 1.0674,              0.0004852,              0.0004852,              0.0004852
                     28,                0.83974,                0.90694,                 1.1703,                0.79159,                0.72856,                0.81253,                0.62916,                0.80694,                0.94495,                 1.1094,              0.0004654,              0.0004654,              0.0004654
                     29,                0.85025,                0.93808,                 1.1884,                0.79316,                 0.7595,                0.82593,                0.66188,                 0.7618,                0.88527,                 1.0933,              0.0004456,              0.0004456,              0.0004456
                     30,                0.82907,                0.88794,                 1.1772,                0.79002,                0.77862,                0.85368,                0.68072,                0.75554,                0.84962,                 1.0828,              0.0004258,              0.0004258,              0.0004258
                     31,                0.80826,                 0.8506,                  1.153,                0.72825,                 0.7956,                0.82722,                0.66949,                0.74225,                0.88645,                  1.072,               0.000406,               0.000406,               0.000406
                     32,                0.84891,                0.85148,                 1.1858,                0.67748,                0.76354,                0.80776,                0.63595,                0.76456,                0.92271,                 1.0811,              0.0003862,              0.0003862,              0.0003862
                     33,                0.81403,                0.83895,                 1.1525,                 0.6975,                0.70492,                0.78243,                0.62996,                 0.7272,                 1.1278,                  1.065,              0.0003664,              0.0003664,              0.0003664
                     34,                0.80291,                0.84302,                 1.1576,                0.84035,                0.83206,                0.90311,                0.72338,                0.73087,                0.72809,                 1.0542,              0.0003466,              0.0003466,              0.0003466
                     35,                0.80226,                0.80962,                 1.1489,                0.73549,                 0.7792,                0.83854,                0.68489,                0.72086,                0.88583,                 1.0382,              0.0003268,              0.0003268,              0.0003268
                     36,                0.79352,                0.78331,                 1.1482,                0.71765,                0.79198,                0.84657,                 0.6741,                0.76689,                0.83998,                 1.0791,               0.000307,               0.000307,               0.000307
                     37,                0.77361,                0.75461,                 1.1428,                0.86373,                0.80475,                0.91993,                0.73678,                0.71899,                0.66585,                 1.0434,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.7823,                0.74999,                  1.145,                 0.8248,                0.74044,                0.87654,                0.71476,                0.72713,                0.81132,                 1.0473,              0.0002674,              0.0002674,              0.0002674
                     39,                0.76661,                0.73031,                 1.1322,                0.86452,                0.79844,                0.89788,                0.73494,                0.70051,                0.68172,                 1.0353,              0.0002476,              0.0002476,              0.0002476
                     40,                0.76934,                0.72491,                 1.1363,                0.85736,                0.78403,                0.90173,                0.73925,                0.70926,                  0.694,                   1.03,              0.0002278,              0.0002278,              0.0002278
                     41,                0.63502,                0.66308,                 1.1143,                0.80995,                0.80861,                 0.8632,                0.70002,                 0.7092,                0.83126,                 1.0313,               0.000208,               0.000208,               0.000208
                     42,                0.62885,                 0.5864,                 1.1188,                 0.8267,                0.75204,                0.88549,                0.71931,                0.72502,                0.78948,                 1.0372,              0.0001882,              0.0001882,              0.0001882
                     43,                0.61087,                0.56647,                 1.0948,                0.81431,                0.83684,                 0.9149,                0.74237,                0.71757,                0.70492,                 1.0404,              0.0001684,              0.0001684,              0.0001684
                     44,                0.61737,                 0.5627,                 1.1051,                0.85153,                0.78232,                0.90989,                0.74359,                0.70669,                0.74623,                 1.0355,              0.0001486,              0.0001486,              0.0001486
                     45,                0.59403,                0.56866,                  1.096,                0.82343,                0.85829,                0.90803,                0.74197,                0.72517,                 0.6683,                 1.0286,              0.0001288,              0.0001288,              0.0001288
                     46,                0.58469,                0.49746,                 1.0745,                0.83515,                0.82067,                0.89492,                0.73995,                0.70124,                0.67146,                 1.0099,               0.000109,               0.000109,               0.000109
                     47,                0.57954,                0.47571,                 1.0817,                0.86186,                0.79135,                0.90358,                0.75576,                0.67236,                0.74423,                  1.007,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.56871,                0.46028,                  1.074,                0.87118,                0.82693,                 0.9158,                0.75961,                0.68863,                0.67079,                  1.012,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.55187,                0.43973,                 1.0761,                0.86357,                0.82041,                0.91838,                0.75853,                0.67414,                0.66079,                 1.0048,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.55263,                0.43279,                 1.0615,                0.85594,                0.85284,                0.92291,                0.76259,                0.68393,                0.62672,                 1.0004,               2.98e-05,               2.98e-05,               2.98e-05
