                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74446,                0.78273,                 1.1123,                0.81498,                0.80245,                0.87985,                0.70692,                0.75488,                0.76751,                 1.0592,              0.0003268,              0.0003268,              0.0003268
                     36,                0.73075,                0.74361,                 1.1054,                0.86628,                0.77691,                0.90042,                0.71965,                0.76375,                0.76011,                 1.0703,               0.000307,               0.000307,               0.000307
                     37,                0.72894,                0.72378,                  1.105,                0.79182,                0.82097,                0.89401,                 0.7233,                0.74546,                0.77657,                 1.0508,              0.0002872,              0.0002872,              0.0002872
                     38,                0.72241,                0.70567,                 1.1032,                  0.859,                 0.8158,                0.90526,                0.72913,                0.73872,                0.76146,                 1.0414,              0.0002674,              0.0002674,              0.0002674
                     39,                0.70162,                0.69902,                 1.0839,                 0.8091,                0.86719,                0.88693,                0.71189,                0.73765,                0.81182,                 1.0455,              0.0002476,              0.0002476,              0.0002476
                     40,                0.71749,                0.69539,                  1.096,                0.86705,                0.82368,                0.90781,                0.73859,                0.72115,                0.74514,                 1.0376,              0.0002278,              0.0002278,              0.0002278
                     41,                0.58284,                0.67201,                 1.0682,                0.81509,                0.83877,                0.90658,                0.72831,                0.72142,                0.88051,                 1.0515,               0.000208,               0.000208,               0.000208
                     42,                0.56264,                0.56319,                 1.0631,                 0.8037,                0.87956,                0.90459,                0.72171,                 0.7265,                0.79398,                 1.0377,              0.0001882,              0.0001882,              0.0001882
                     43,                0.54669,                0.54972,                 1.0449,                0.84346,                0.82319,                0.89854,                0.72048,                0.70234,                 0.8298,                  1.031,              0.0001684,              0.0001684,              0.0001684
                     44,                0.54551,                0.54626,                 1.0512,                0.85657,                0.82021,                0.91395,                0.74373,                0.71339,                0.76207,                 1.0388,              0.0001486,              0.0001486,              0.0001486
                     45,                0.53663,                0.50875,                 1.0455,                0.84439,                0.83632,                 0.9159,                0.74161,                0.71671,                0.74001,                 1.0359,              0.0001288,              0.0001288,              0.0001288
                     46,                  0.524,                0.48437,                 1.0189,                0.91562,                0.80689,                0.92675,                0.75694,                0.68159,                0.65944,                 1.0106,               0.000109,               0.000109,               0.000109
                     47,                 0.5134,                0.46045,                 1.0233,                 0.8581,                 0.8591,                0.92813,                0.75628,                0.68883,                 0.6777,                 1.0117,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.50817,                  0.454,                 1.0212,                0.88745,                 0.8661,                0.91955,                0.74949,                0.68099,                0.68953,                 1.0029,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.48833,                0.45923,                 1.0202,                 0.8597,                0.85762,                0.92255,                 0.7572,                0.68386,                0.67388,                 1.0052,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 0.4965,                0.43874,                 1.0111,                  0.873,                0.85284,                 0.9267,                0.75985,                0.68668,                0.65707,                 1.0053,               2.98e-05,               2.98e-05,               2.98e-05
