                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87974,                 1.1401,                 1.2222,                  0.621,                0.69249,                0.69168,                0.54263,                0.76373,                  1.115,                 1.1776,              0.0003268,              0.0003268,              0.0003268
                     36,                0.85977,                 1.0858,                 1.2107,                0.61981,                0.76294,                0.73231,                0.58031,                0.78444,                 1.0465,                 1.2028,               0.000307,               0.000307,               0.000307
                     37,                0.84337,                 1.0506,                 1.2085,                0.66129,                0.67989,                0.72843,                0.56467,                0.81495,                 1.0763,                  1.219,              0.0002872,              0.0002872,              0.0002872
                     38,                0.86134,                 1.0477,                 1.2154,                0.60542,                0.70494,                0.69979,                 0.5483,                0.79217,                 1.0792,                 1.1896,              0.0002674,              0.0002674,              0.0002674
                     39,                0.83723,                 1.0441,                 1.1903,                 0.6335,                0.73302,                0.70013,                0.54775,                0.78566,                 1.0639,                 1.1924,              0.0002476,              0.0002476,              0.0002476
                     40,                 0.8429,                 1.0581,                 1.1998,                0.62073,                 0.7306,                0.71519,                0.56204,                0.80933,                  1.119,                 1.1978,              0.0002278,              0.0002278,              0.0002278
                     41,                 0.7139,                0.98776,                 1.1886,                0.61407,                0.65812,                0.65487,                0.51348,                0.79862,                 1.2047,                 1.2147,               0.000208,               0.000208,               0.000208
                     42,                0.70401,                0.92418,                 1.1793,                0.65232,                0.73237,                0.72022,                0.56725,                0.79525,                 1.0032,                 1.1976,              0.0001882,              0.0001882,              0.0001882
                     43,                0.69344,                0.91446,                 1.1603,                0.65638,                  0.757,                 0.7532,                0.59764,                0.77395,                 1.0943,                  1.203,              0.0001684,              0.0001684,              0.0001684
                     44,                0.69373,                0.88212,                 1.1726,                0.70737,                0.68506,                0.73755,                0.59054,                0.75844,                 1.0716,                  1.196,              0.0001486,              0.0001486,              0.0001486
                     45,                0.67456,                0.86142,                 1.1522,                0.70151,                 0.7298,                 0.7727,                0.60774,                0.77043,                0.98191,                 1.1891,              0.0001288,              0.0001288,              0.0001288
                     46,                0.66462,                0.76508,                 1.1397,                0.71961,                0.73378,                0.78132,                0.62962,                0.77028,                0.95887,                 1.1763,               0.000109,               0.000109,               0.000109
                     47,                0.66405,                0.74693,                 1.1513,                0.66735,                 0.7859,                0.78864,                0.63658,                0.73869,                0.94008,                 1.1692,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.63747,                0.75667,                 1.1217,                0.70643,                0.70525,                0.77753,                 0.6332,                 0.7297,                0.93164,                 1.1612,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.62344,                0.73269,                 1.1345,                0.73899,                0.70085,                0.77994,                0.63379,                 0.7404,                0.91296,                  1.164,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.63396,                0.72316,                 1.1153,                0.78267,                0.69554,                0.80505,                0.65461,                 0.7313,                0.90932,                 1.1624,               2.98e-05,               2.98e-05,               2.98e-05
