                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0018,                 2.8893,                 1.2182,                0.00435,                      1,                0.31826,                0.23837,                0.80324,                 2.7807,                 0.8853,             0.00032667,             0.00032667,             0.00032667
                      2,                 1.0684,                 2.2201,                 1.2496,                0.29815,                0.43609,                 0.3339,                0.21503,                0.96769,                 2.1739,                0.98369,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.1193,                 2.0397,                 1.2594,                0.22169,                0.53608,                0.29219,                0.18307,                 1.1834,                 2.6823,                 1.1342,               0.000954,               0.000954,               0.000954
                      4,                 1.0995,                 1.8942,                 1.2428,                0.27634,                0.30123,                0.13097,                0.07193,                 1.3709,                 5.4735,                 1.3368,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0651,                 1.7526,                 1.2257,                0.32836,                0.55201,                0.34846,                0.23443,                  1.152,                 2.9238,                 1.1107,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.0653,                 1.6845,                 1.2145,                0.52962,                0.45149,                 0.4267,                0.28451,                 1.0972,                 2.1367,                 1.0588,               0.000901,               0.000901,               0.000901
                      7,                 1.0526,                 1.6323,                 1.2029,                0.73114,                0.45286,                0.53929,                0.37949,                 1.0004,                 1.7729,                0.97854,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.0016,                 1.5052,                 1.1891,                0.49524,                0.69083,                0.62321,                0.45177,                 0.9661,                 1.4959,                0.95757,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.9954,                 1.5013,                 1.1732,                0.42685,                0.53223,                0.50182,                0.35304,                 1.0495,                 1.8542,                 1.0075,              0.0008416,              0.0008416,              0.0008416
                     10,                  0.982,                 1.4678,                 1.1699,                 0.3999,                0.68635,                0.52438,                0.38046,                0.93559,                 1.5896,                0.94825,              0.0008218,              0.0008218,              0.0008218
                     11,                0.98179,                 1.4092,                 1.1687,                0.44913,                0.59622,                0.57397,                0.42786,                0.93744,                 1.6418,                0.94853,               0.000802,               0.000802,               0.000802
                     12,                0.98446,                 1.3527,                 1.1716,                0.54054,                 0.5535,                0.57506,                0.42748,                0.93058,                 1.5695,                0.94213,              0.0007822,              0.0007822,              0.0007822
                     13,                0.92513,                 1.3029,                 1.1471,                0.59098,                 0.6657,                0.61874,                0.45888,                 0.8679,                 1.3542,                0.92315,              0.0007624,              0.0007624,              0.0007624
                     14,                0.92532,                 1.2454,                 1.1351,                0.50784,                 0.7698,                0.63685,                0.48267,                0.89968,                 1.2867,                0.92801,              0.0007426,              0.0007426,              0.0007426
                     15,                0.93468,                 1.2441,                 1.1454,                0.51062,                0.63472,                0.62348,                0.48367,                0.83833,                 1.4456,                0.88361,              0.0007228,              0.0007228,              0.0007228
                     16,                0.93224,                 1.2626,                 1.1464,                0.65998,                0.63819,                0.70731,                0.54822,                0.84596,                 1.2618,                0.89907,               0.000703,               0.000703,               0.000703
                     17,                0.91288,                 1.2359,                 1.1332,                0.62508,                0.66831,                0.66381,                0.51583,                0.83793,                 1.2434,                0.90022,              0.0006832,              0.0006832,              0.0006832
                     18,                0.89005,                 1.2082,                 1.1317,                0.66417,                0.64827,                0.71816,                0.55299,                0.86688,                 1.1744,                 0.8966,              0.0006634,              0.0006634,              0.0006634
                     19,                 0.8896,                 1.1553,                 1.1332,                0.67573,                0.67543,                0.68717,                 0.5359,                0.80224,                 1.1317,                0.88439,              0.0006436,              0.0006436,              0.0006436
                     20,                0.89593,                 1.1587,                 1.1324,                0.41929,                0.64254,                0.59068,                0.45411,                0.85771,                 1.7034,                0.89887,              0.0006238,              0.0006238,              0.0006238
                     21,                0.87095,                 1.0915,                 1.1104,                0.61068,                0.68994,                0.73513,                0.56758,                0.87168,                 1.2137,                 0.9195,               0.000604,               0.000604,               0.000604
                     22,                0.87236,                 1.0671,                 1.1193,                0.62156,                0.70827,                 0.7222,                0.57378,                0.79538,                 1.1937,                0.86906,              0.0005842,              0.0005842,              0.0005842
                     23,                0.85966,                 1.0508,                  1.116,                0.62825,                0.73151,                0.72393,                0.55722,                0.80405,                 1.1115,                0.88867,              0.0005644,              0.0005644,              0.0005644
                     24,                0.83215,                 1.0213,                 1.0888,                0.65131,                0.73372,                0.73121,                 0.5734,                0.81169,                 1.1655,                0.86576,              0.0005446,              0.0005446,              0.0005446
                     25,                 0.8381,                 1.0102,                 1.1033,                0.64474,                0.71326,                0.76407,                 0.6032,                0.81275,                 1.1902,                0.88665,              0.0005248,              0.0005248,              0.0005248
                     26,                 0.8425,                 1.0318,                 1.1192,                0.70544,                0.72314,                  0.769,                0.59618,                 0.7879,                 1.0636,                0.86009,               0.000505,               0.000505,               0.000505
                     27,                0.83797,                 0.9634,                 1.1005,                0.77842,                 0.7712,                0.83237,                0.66035,                 0.7616,                 0.9548,                 0.8589,              0.0004852,              0.0004852,              0.0004852
                     28,                0.82481,                0.97024,                 1.0979,                0.66264,                0.73137,                0.78286,                0.61499,                0.81956,                  1.068,                 0.8843,              0.0004654,              0.0004654,              0.0004654
                     29,                0.83615,                 0.9943,                 1.1142,                0.72755,                0.82215,                0.80491,                0.65058,                0.74597,                0.94205,                0.85754,              0.0004456,              0.0004456,              0.0004456
                     30,                0.82811,                0.93566,                  1.104,                0.74546,                0.76916,                0.83299,                0.66779,                0.77587,                0.91861,                0.85589,              0.0004258,              0.0004258,              0.0004258
                     31,                0.79738,                0.90031,                 1.0891,                0.77859,                0.75996,                0.85202,                0.68812,                0.77169,                0.87075,                0.87301,               0.000406,               0.000406,               0.000406
