                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.84047,                0.89836,                 1.1115,                0.76504,                0.76373,                0.82808,                0.65997,                0.75889,                0.92334,                 0.8485,              0.0003862,              0.0003862,              0.0003862
                     33,                0.79519,                0.86612,                 1.0833,                0.80332,                0.69617,                0.82156,                0.65237,                0.74047,                0.92463,                0.85378,              0.0003664,              0.0003664,              0.0003664
                     34,                  0.793,                0.87177,                 1.0814,                0.82846,                0.73854,                0.85645,                0.68787,                0.78704,                0.86296,                0.87015,              0.0003466,              0.0003466,              0.0003466
                     35,                0.79828,                 0.8882,                 1.0888,                0.85681,                0.76876,                0.88474,                0.71445,                0.73432,                0.82126,                0.83941,              0.0003268,              0.0003268,              0.0003268
                     36,                0.77282,                0.84841,                 1.0785,                0.81373,                0.77685,                0.86025,                0.70163,                0.73079,                0.82871,                0.83593,               0.000307,               0.000307,               0.000307
                     37,                0.74689,                0.80341,                 1.0722,                0.80991,                0.77523,                0.88337,                0.72263,                0.75037,                0.79501,                0.84873,              0.0002872,              0.0002872,              0.0002872
                     38,                0.76953,                0.80112,                 1.0803,                0.72861,                0.85275,                0.89164,                0.72102,                0.74869,                0.77421,                0.85051,              0.0002674,              0.0002674,              0.0002674
                     39,                0.74304,                0.80313,                 1.0644,                0.78392,                0.82542,                0.87257,                0.70417,                0.73333,                0.81847,                0.84323,              0.0002476,              0.0002476,              0.0002476
                     40,                0.74941,                 0.7728,                 1.0716,                 0.7946,                0.75852,                0.86095,                0.69638,                0.72178,                0.87892,                0.83815,              0.0002278,              0.0002278,              0.0002278
                     41,                0.62008,                0.70104,                 1.0016,                0.78002,                0.78249,                0.84921,                0.69491,                0.69974,                0.88356,                0.83302,               0.000208,               0.000208,               0.000208
                     42,                0.61018,                0.63328,                0.98354,                 0.8505,                0.77422,                0.87708,                0.72361,                0.69754,                0.82009,                0.84022,              0.0001882,              0.0001882,              0.0001882
                     43,                0.58567,                0.59476,                  0.972,                0.72297,                0.69718,                0.75111,                0.59644,                0.78879,                 1.1286,                 0.8961,              0.0001684,              0.0001684,              0.0001684
                     44,                0.57799,                0.61382,                0.97134,                0.82027,                0.78303,                0.88186,                0.72328,                0.71172,                 0.8372,                0.84701,              0.0001486,              0.0001486,              0.0001486
                     45,                0.57918,                0.58544,                0.97205,                0.90414,                0.76652,                0.89851,                0.72697,                0.72801,                0.77364,                0.84861,              0.0001288,              0.0001288,              0.0001288
                     46,                0.56409,                0.51701,                0.95682,                0.83394,                0.79694,                0.87553,                0.71584,                0.72809,                0.80038,                0.84736,               0.000109,               0.000109,               0.000109
                     47,                0.56056,                0.50005,                0.95417,                0.85378,                0.76513,                0.88723,                 0.7292,                0.70007,                0.77813,                 0.8405,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.55112,                0.49692,                0.95687,                0.84884,                0.80847,                0.88286,                0.72411,                0.70873,                0.80023,                0.84155,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.53217,                0.47673,                0.96472,                 0.8317,                0.83006,                0.89108,                0.73639,                0.70936,                0.75485,                0.84213,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.53052,                0.46675,                0.94903,                0.85755,                0.84322,                0.89928,                0.74421,                0.70608,                0.71766,                0.84138,               2.98e-05,               2.98e-05,               2.98e-05
